"# 文本key","文本value"
"string","string"
"id","text"
"Murmum_10000_1","<MsgSectStyle>[I’ve acquired it. No need to review...]</>"
"Murmum_10000_2","<MsgSectStyle>[I’ve mastered it. No need to review...]</>"
"Murmum_10000_3","<MsgSectStyle>[Hey! I told you I don’t need to review !]</>"
"Murmum_10000_4","<MsgSectStyle>[I’ve acquired it. No need to review...]</>"
"Murmum_10000_5","<MsgSectStyle>[I’ve learned this skill! ]</>"
"Murmum_10007_1","[Nothing found...]"
"Murmum_10008_1","What’s this place? Anybody here? Hello? Hi? Oi —"
"Murmum_10009_1","Let’s spar once we’ve restored our Vigor."
"Murmum_10010_1","The opponent is considering how to deal with you...thinking of the relations between you two and their attitude toward you...weighing the risks..."
"Murmum_40000_1","Forbidden area! No entry for strangers!"
"Murmum_50000_1","What are you looking at? Get out!"
"Murmum_50001_1","You wanna join our sect? Impossible!"
"Murmum_50002_1","Meet the entry requirements and you can become one of us!"
"Murmum_50003_1","I’ve reported to the sect leader. The honorable one,you’ll receive the leader’s letter soon."
"Murmum_50004_1","Hum? Get up!"
"Murmum_50005_1","Who’s hiding there? Come out!"
"Murmum_50006_1","Hum? Who’s there! !"
"Murmum_50007_1","Nice gear!"
"Murmum_50008_1","This Skill is perfect for me!"
"Murmum_50009_1","Warrior,thank you for saving me!"
"Murmum_50013_1","Horses like eating grass. Monkeys like eating pinecones or plums. Martens and snakes like eating meat and eggs. Eagles like eating meat."
"Murmum_50014_1","Soon there will be a Kungfu Contest in areas with such a campaign. I can't wait any longer. Is there anything that a martial arts champion can't do? Hahahaha!"
"Murmum_50015_1","There’s a Bulletin Board at the Mountain Gate of every sect. You can take a look,see if you meet their Entry Requirements. But I’m not sure whether you’re worthy or not."
"Murmum_50016_1","You can use your Chi to heal minor injury. If the injury is too severe,you can go to clinic for healing. But Clinics often charge a high fee. .."
"Murmum_50017_1","Trade,complete commissions,or work at all kinds of stores. But doing illegal business always earns more. Ahaha,just like taking supplements will make you stronger!"
"Murmum_50018_1","Hehe,no one is invincible in this world. You can improve your power by collecting more skills,Inner Kungfu,Abilities,and Gears. But remember,only the fitting combination means the true power."
"Murmum_50019_1","I heard that you can acquire advanced Qinggong at the Eagle Hunt Platform and Mirror Lake Stonewoods."
"Murmum_50020_1","Give everything you owe me now!"
"Murmum_50021_1","You’re not too stupid,huh? Now get out! Don’t mess with me! !"
"Murmum_50022_1","That was your lesson today!"
"Murmum_50023_1","Sorry,I didn’t mean to do this! Let’s forget this,shall we?"
"Murmum_50024_1","I'm tired today. Come and see me tomorrow."
"Murmum_50025_1","I'm tired today. I need to digest what we just covered. Let's continue tomorrow."
"Murmum_50026_1","(...Hold still...Just bear with it for a little longer, we're almost there! ! ! )"
