"# 文本key","文本value"
"string","string"
"id","text"
"c854dd202f2e2a7b0ea0564c73276680","За каждые {0} смежных {1}, получите {2} Красноречие"
"c94ac3942de09c937c812dec2faea062","{0}% шанс удалить соседние {1}. За каждое удаленное вы получаете {2} Красноречие"
"6aac64544150f50d72647badb9a6e0ab","Для каждого {0}, соседнего с {1}, добавьте еще {2} единицы красноречия"
"dc3abcbb594f26cc51408c2fdb90199e","Если смежный {0} это {1}, получите {2} красноречия"
"f042ae4678bbcc38601c4a942fe97c9e","Когда {0}, увеличивает основную слюну из {1} до основной слюны из соседнего рта {2}"
"a0cd1766a0b7cd3e473469e1f2573fc5","Для каждого {0} в той же строке получите {1} красноречия"
"02acd56185c212a12ea94a7a3c6ded4c","Удалите {0} соседние {1} и получите {2} такие же"
"a77343eff0454788430d27cab5303187","Когда другие оскорбления равны {0}, дополнительное увеличение {1} удваивается"
"0f5238a410969ebf34e8435195236e24","{0}% самоуничтожения и увеличения шанса перевыбора времени"
"b39cacb8593cc262b8e65a12a81d7a43","За каждую соседнюю {0} набирайте {1} красноречия"
"bdf000b8ff49c7df55a693985c0bd0f1","{0}% сгенерировать {1} {2}"
"87649ec432dd10bbe65679e99fa9f257","{0}% шанс превратиться в {1}"
"70d39f6a006bcb5eca286df9e8c4711e","При удалении дает {0} красноречия"
"4ecf322b7638c46f0b54d1bba4d8a437","Дает {1} красноречие соседним {0}"
"891c1a20f6af58f1cd80f321a9588cc9","Когда другие оскорбления равны {0}, скопируйте {1} (не больше {2})"
"235286a0ffa65725645c5a17cb165f28","Удалит себя и даст {0} красноречие соседним оскорблениям"
"0123a061b3a47bab4ba03948a2622236","Исключите по одному типу соседних {0}, добавьте {1} двойной слюны"
"f5e453131ef9183873ab949dbc5d8465","За каждые {0} соседних неактивных оскорблений будет добавлена дополнительная {1} слюна"
"edc3f828d2f52b5d45b76ff113603ee5","Когда в {0}, получает {1} красноречие"
"cfba4fe764c142d6d6ff8155729fad9f","Превратите {0} соседних {1} в случайные"
"dd47f4a09ebbd97e90f1ea3c338f6add","За каждое {0} в том же столбце получает {1} красноречия"
"a1473fa6631b1b9bdf51bd26aafc618e","Когда в {0}, получите {1}x красноречия"
"c966c96f2a57913d7748bb0af1f1c3e1","Удалите соседние {0}. За каждую удаленную получите {1} красноречие"
"8736f6116f8c25003f904883235e382b","Для каждого {0} смежного {1} получите {2}x красноречия"
"0d1e80b50abcb2b6962218a5ce64c9d5","Каждый раунд накопления {0} слюны, когда она потрачена, получите дополнительную слюну с {1} двойным накоплением"
"45619b840c45d173924b354bdde77cc5","Дополнительная слюна для увеличения количества оскорблений"
"3a612f34999527bb9fda44219498931f","{0}% что удалит соседние {1}. Каждый начальный рот каждого раунда постоянно увеличивается {2}"
"c521be966a23bf4bd714fd33de2b2f04","{0}% шанс самоуничтожения, увеличивает возможность удаления оскорбления"
"d9752d85af936170da88476c8e9420a3","Уберите {0} {1} с поля и получите {2} {3}"
"da03efa35187b6bcfcec0d93ecbeb51a","Исключите по одному соседних {0} {1}, начальное количество слюны в каждом круге рта будет постоянно увеличиваться {2}"
"c13fb049caa5db4e1f1ce068df97e23d","Удаляйте соседние без каких-либо эффектов. За каждое удаленное получайте {0} красноречия"
"45a374e9fc2bb3884e08e87230bbb79f","Удалите {0} рядом с {1}. За каждый удаленный элемент получите {2} красноречие"
"926568e5c7eaeaf4a32094b679aba697","Удалите соседние {0}. За каждое удаленное получите {1}x красноречия"
"4c1a290affb1ccd7fabe2665e38f4221","Когда все соседние элементы различны, дает {0} красноречия"
"761abe285ee8998504189d6053f00346","Удалите {0} случайных положительных репутаций у оппонента и дайте ему {1} случайных отрицательных репутаций"
"7acbce701959797ffaaecd7a49150aee","Когда другие оскорбления равны {0}, они уничтожают себя, а у других оскорблений слюна равна {1}"
"5bb9557320342d3528502e0acf1db8bf","Когда удаляется дает {0}% шанс на окончание словесной дуэли"
"9c44132ca6dc4dc2721692a50643e8dd","Заставьте других персонажей в боевых искусствах генерировать {0} {1}"
"b1e0916fc9677f36ce50cd271cc68e78","Нанести {0} стаков {1} по противнику"
"f3f0fd3b92db063e3c46477260389eec","Удалите {0} случайные соседние словесные дуэли с красноречием, кратным {1}, и добавьте к собственному красноречию"
"63cedf695a872eb7cee27ceda6081b43","Дает им развить {0} {1} по отношению к вам"
"bd231448656011acce3154f92c6572b8","Дает большую слюну с большим значением в соседние оскорбления"
"7c2b07d58dbe04696246bc0c25fdf17f","Удалите {0} случайных отрицательных репутаций у оппонента и дайте ему {1} случайных положительных репутаций"
"03b64febf2636e8e48be5e5c4d5eb1e0","{0}% шанс удалить соседний {1}. За каждый удаленный элемент получайте {2}x красноречия"
"435eba8357c20b3e19214cf40d19366b","Когда нет соседних словесных дуэлей, набирайте {0}x красноречия"
"0e8d89655cd9473567c0a49cd26bb65b","Уничтожьте все другие оскорбления на поле боя и увеличьте количество слюны, выделяемой оскорблением"
"9bf5610e444eb970ff2a61ab482859c6","Очистите репутацию противника и дайте ему репутацию {0}"
"c0b0c2ae3d2dc01ab71b20f10d109813","When the dreamlike illusion is connected with the grand aspirations of the Earth Store, they can be synthesized."
