"# 文本key","文本value"
"string","string"
"id","text"
"Common_Item","Предметы"
"Common_Skill","Навыки"
"Common_NeiGong","Нэйгун"
"Common_Equip","Снаряжение"
"Common_Back","Назад"
"Common_Return","Вернуться"
"Common_SkillLevelUp","Повышение уровня навыка"
"Common_Unequip","Снять"
"Common_Confirm","Подтвердить"
"Common_Extra","Дополнительно"
"Common_Value","Цена"
"Common_Extra_Desc","[Неуязвимый]"
"Common_Continue","Продолжить"
"Common_Add","Добавить"
"Common_Close","Закрыть"
"Common_Delete","Удалить"
"Common_Delete_All","Удалить все"
"Common_Stop_Talk","Завершить диалог"
"Common_CraftItem","Создать предмет"
"Common_Crafting","Создание..."
"Common_Reduce","Уменьшить"
"Common_Cancel","Отмена"
"Common_Finish","Закончить"
"Common_Use","Применить"
"Common_Place","Разместить"
"Common_Feed","Кормить"
"Common_Player_Name","Я"
"Common_Player_Mine","Мой"
"Common_You","Ты"
"Common_Your_Sect","Твоя Секта"
"common_mine_teacher","Мой учитель"
"Common_Empty","Пусто"
"Common_Price"," [Цена]"
"Common_Price_1","Цена"
"Common_But","Но"
"Common_Or","или"
"Common_He","Он"
"Common_She","Она"
"Common_It","Это"
"Common_Life_Title","Здоровье"
"Common_Time_Hour","Время"
"Common_Time_Day","День"
"Common_Time_Per_Day","Каждые {0} дней"
"Common_Time_NoLimit","Не ограничено"
"Common_Select_Item","Кол-во перемещаемых предметов: {0}"
"Common_has_learn","[Изучено]\\n<TDName>Нажмите</> <TDNum>[1=11]</> <TDName>для открытия окна способностей</>"
"Common_has_learn_gamepad","[Приобретено]\\n<TDName>Открыть окно способностей</>"
"Common_has_learn_for_item","[Изучено]"
"Common_has_learn_for_item_1","[{0} - Изучил]"
"Common_Click","Клик"
"Common_LightRain","Морось"
"Common_Rain","Дождь"
"Common_RainStorm","Ливень"
"Common_LightSnow","Снег"
"Common_Snow","Снегопад"
"Common_Blizzard","Метель"
"Common_ClearSkies","Ясно"
"Common_Cloudy","Облачно"
"Common_Overcast","Пасмурно"
"Common_Foggy","Туман"
"Common_SandStorm","Песчаная буря"
"Common_PoisonFog","Ядовитый туман"
"Common_CreatPlayer","Создать персонажа"
"Common_Feeling","настроение"
"Common_Max_Feeling","Макс. настроение"
"Common_Merit","Merit"
"Common_Any_Sift","Любой ресурс"
"Common_Exit_Combat","Поражение"
"Common_Argument","Словесная дуэль"
"Common_Exit_Mini_Game","Сдаться"
"Common_Use_Item","Используйте предмет"
"Common_Move_Item","Перемещение предмета"
"Common_Place_Item","Разместить предмет"
"Common_Cook_Item","Готовить еду"
"Common_Key_Up_DownTips","Клавиша верх и вниз"
"Common_Gender","Пол"
"Common_Name","Имя"
"Common_Orphan","Сирота"
"Common_The_Late","Неизвестный"
